t, x1, x2, u
0.632, 0.013202, 0.0259176, 1
0.633, 0.0132279, 0.0258776, 1
0.634, 0.0132538, 0.0258374, 1
0.635, 0.0132796, 0.0257969, 1
0.636, 0.0133054, 0.0257562, 1
0.637, 0.0133311, 0.0257152, 1
0.638, 0.0133568, 0.0256741, 1
0.639, 0.0133824, 0.0256326, 1
0.64, 0.013408, 0.025591, 1
0.641, 0.0134336, 0.0255491, 1
0.642, 0.0134591, 0.025507, 1
0.643, 0.0134846, 0.0254646, 1
0.644, 0.0135101, 0.0254221, 1
0.645, 0.0135355, 0.0253792, 1
0.646, 0.0135608, 0.0253362, 1
0.647, 0.0135861, 0.0252929, 1
0.648, 0.0136114, 0.0252494, 1
0.649, 0.0136366, 0.0252057, 1
0.65, 0.0136618, 0.0251617, 1
0.651, 0.013687, 0.0251175, 1
0.652, 0.0137121, 0.0250731, 1
0.653, 0.0137371, 0.0250284, 1
0.654, 0.0137621, 0.0249835, 1
0.655, 0.0137871, 0.0249384, 1
0.656, 0.013812, 0.0248931, 1
0.657, 0.0138369, 0.0248475, 1
0.658, 0.0138617, 0.0248018, 1
0.659, 0.0138865, 0.0247557, 1
0.66, 0.0139112, 0.0247095, 1
0.661, 0.0139359, 0.024663, 1
0.662, 0.0139605, 0.0246164, 1
0.663, 0.0139851, 0.0245695, 1
